ID,Is_Lead
KCPTBK2S,1
XZBWQPCB,1
CYDQV4AP,1
4JWDZWZJ,1
US7XJH7Y,1
ADZRWTFZ,1
GC7N4GMH,1
ZBV9GJE8,1
G7VCVTGR,1
TXTTFSZM,1
LAOPHJT4,1
DS7SOKKG,1
FVJTFGF7,1
JJJYFOVY,1
UN9KNQJJ,1
R876ICUE,1
DNXY7KYN,1
SJJ9DBNW,1
CYKGAWEN,1
ZSTQ2H5G,1
DVBJVBKR,1
C69QETN6,1
QK9YEPH3,1
AMQ2QIIQ,1
DHJUFKYK,1
8C8U77QE,1
NVPTGKLR,1
UG7W4UC7,1
XNZVGTNV,1
BU6RP3UU,1
MBU4PJPH,1
ABMZ6BIK,1
3BKA2WDN,1
FTKRYY3I,1
KTTZDWSH,1
CBDN5MT8,1
7J7U3YPK,1
GUQH59W8,1
EZYWCA9N,1
DPUMCDVV,1
KMNFH3F8,1
AUNJ3KBW,1
IEGHWWQO,1
BWPT9XUL,1
VZWYYDZQ,1
5URPVJUO,1
JW3QDK2Y,1
HMK2KGN9,1
FGCCAOVG,1
DRFRM9MV,1
UFXS75FV,1
I5QGEPCD,1
IM7ZHFF9,1
MFPVT75J,1
AZSKDE8Q,1
LL3VHWDE,1
BKH3KVUI,1
RMKRVFRW,1
FYXYVNIT,1
IFAKS6EY,1
DNYQDXVG,1
NVEATDBC,1
ELEEGFVQ,1
XDXH3ZSZ,1
M8FTPJ84,1
NTC4TYLS,1
GSZDQG5M,1
IIQ8PJK4,1
RWTRXCFR,1
BFHO8TBM,1
KRERTPAK,1
ZOKLMQSM,1
NTAEZAEH,1
G85FOHZZ,1
PZA9J92V,1
D5AEFCB9,1
FFFEBN8X,1
MKEZ4MZW,1
MQFFSYH2,1
4TCFHRKO,1
MQYRGHSO,1
5I6R4KLU,1
TMHBDHFK,1
8BGRVT64,1
ZWQJVNA2,1
LPUWXPS9,1
TXZJ3XTR,1
QXWCG9GK,1
KW2KRGG2,1
GHY2QNRR,1
8YYXJOYU,1
GAF2E4AP,1
8M2GNCRP,1
QVQ6B43Z,1
DYNTTYD4,1
YUDRDEXF,1
DG2GJAHE,1
ACPMU885,1
JPWKQPAO,1
4NDHCXNG,1
Q2HKNFGP,1
85USOXEM,1
EV69UZPU,1
D3JNKTVS,1
QIPSIONE,1
EHMHJJVD,1
BY8NVYPH,1
BTGCQWNG,1
HVUJXRCU,1
EZDX8CZX,1
DYJRYCFS,1
6XJQPK74,1
HQTCYREN,1
GJCSJCYP,1
BYCXI9K7,1
7BKSV4ZX,1
ARASQ8ZO,1
LCSBR55R,1
GPPFNUHW,1
MGZKNKSW,1
CZJTD8PP,1
KPHCMTGX,1
EVXW9COZ,1
HLXNTJHN,1
8A8CFDPY,1
GBVG74FY,1
O4MMJ3NG,1
MVEF8AWY,1
MF9QCAZD,1
HBVR7DVB,1
DAFYWCVZ,1
AZHVNES5,1
6P8RTKMK,1
ESPGQKQQ,1
NXYZUXJG,1
DPXYGJZH,1
GHHXLYKU,1
C7WBW8UK,1
ROZEZVHS,1
5R4O8N2T,1
MF85FUES,1
GDB3ZPPR,1
8CFPTRSQ,1
NPC9UWFH,1
HN4UUYGR,1
BJBVVOO3,1
BGP4VUPR,1
BGZYYRUN,1
AARERFQG,1
VMRGXCFA,1
CCPS8QYB,1
YKKR5K6I,1
28JJPU32,1
XDHYMX4N,1
JNAXTZJD,1
QEITRKVS,1
FBQK9WVX,1
WAN5YTWE,1
D6CWWOWF,1
3M4HKKQG,1
MNKQPO3L,1
SFI37UPV,1
JPUJAVVH,1
DQ3MVFNV,1
FV2TDW5W,1
M5CGKZVQ,1
XVDOTBKY,1
WTDGKBFA,1
PQI3H535,1
AQEXAAND,1
ABQBNEZ9,1
45ETWQQV,1
563SUOTM,1
UC7YNDC5,1
9DKVWEOT,1
3M22TUHY,1
Q5EKRWAM,1
GTQGCHBG,1
5EN9Q5GU,1
4E6RCTEY,1
A9U4KUFV,1
